date,open,high,low,close,volume,amount
2024-06-10,105.01,106.76,103.43,104.06,822061.0,85543667.66
2024-06-11,103.99,105.71,102.45,103.83,1091190.0,113298257.7
2024-06-12,103.63,105.09,101.33,102.46,1022876.0,104803874.96
2024-06-13,102.71,104.18,101.89,102.35,1118091.0,114436613.85
2024-06-14,102.48,103.94,100.61,101.18,1012535.0,102448291.30000001
2024-06-17,100.87,101.03,99.93,100.46,979807.0,98431411.22
2024-06-18,100.72,102.65,98.91,101.04,973318.0,98344050.72
2024-06-19,100.58,101.99,99.93,100.48,1215821.0,122165694.08
2024-06-20,100.83,101.57,100.66,101.25,987705.0,100005131.25
2024-06-21,101.23,102.7,99.44,102.06,1040860.0,106230171.60000001
2024-06-24,101.69,103.74,101.47,103.05,1159155.0,119450922.75
2024-06-25,103.32,103.83,101.39,103.21,1165920.0,120334603.19999999
2024-06-26,103.07,104.36,101.4,102.37,1271885.0,130202867.45
2024-06-27,102.78,104.41,101.6,103.88,1228713.0,127638706.44
2024-06-28,104.3,105.54,102.49,105.39,1182705.0,124645279.95
