date,open,high,low,close,volume
2024-04-22,99.07,101.24,98.61,99.75,1061816
2024-04-23,99.65,100.92,99.06,99.72,1004727
2024-04-24,99.37,100.42,97.17,98.65,992370
2024-04-25,98.67,99.1,97.33,98.14,1159690
2024-04-26,97.69,100.0,96.3,99.21,1045710
2024-04-29,99.01,101.26,98.37,99.98,1113056
2024-04-30,100.17,101.71,99.01,101.3,1135139
2024-05-01,101.55,102.55,101.41,101.68,895683
2024-05-02,101.42,102.0,99.82,101.05,925710
2024-05-03,101.33,103.08,100.56,101.47,898211
2024-05-06,101.67,103.97,100.85,102.9,1098153
2024-05-07,102.88,103.84,102.49,103.55,877702
2024-05-08,103.44,105.07,102.5,102.89,1009840
2024-05-09,103.32,105.7,102.77,104.45,797933
2024-05-10,104.48,106.73,103.32,105.14,834225
2024-05-13,104.91,105.9,103.76,105.34,826698
2024-05-14,105.54,106.83,105.07,105.73,903668
2024-05-15,105.56,107.84,104.81,106.06,916888
2024-05-16,105.9,107.2,104.02,106.83,759984
2024-05-17,107.02,107.45,106.22,107.33,778106
2024-05-20,106.92,107.29,105.39,106.22,814612
2024-05-21,106.61,107.88,106.28,107.04,849829
2024-05-22,107.25,108.41,106.74,107.17,840295
2024-05-23,106.99,107.75,106.22,107.42,902477
2024-05-24,107.93,108.91,106.43,108.45,716101
2024-05-27,108.92,110.06,105.81,107.35,662937
2024-05-28,107.3,108.18,106.45,107.43,683438
2024-05-29,107.8,109.5,106.34,106.96,682660
2024-05-30,106.72,107.57,105.16,105.6,777465
2024-05-31,105.48,107.85,105.21,106.14,926190
2024-06-03,106.18,107.34,105.65,107.05,954309
2024-06-04,106.92,107.42,105.28,105.93,988290
2024-06-05,105.46,106.17,103.73,105.78,831401
2024-06-06,105.77,107.04,103.94,105.39,990555
2024-06-07,105.2,105.75,103.75,105.32,768900
2024-06-10,105.01,106.76,103.43,104.06,822061
2024-06-11,103.99,105.71,102.45,103.83,1091190
2024-06-12,103.63,105.09,101.33,102.46,1022876
2024-06-13,102.71,104.18,101.89,102.35,1118091
2024-06-14,102.48,103.94,100.61,101.18,1012535
2024-06-17,100.87,101.03,99.93,100.46,979807
2024-06-18,100.72,102.65,98.91,101.04,973318
2024-06-19,100.58,101.99,99.93,100.48,1215821
2024-06-20,100.83,101.57,100.66,101.25,987705
2024-06-21,101.23,102.7,99.44,102.06,1040860
2024-06-24,101.69,103.74,101.47,103.05,1159155
2024-06-25,103.32,103.83,101.39,103.21,1165920
2024-06-26,103.07,104.36,101.4,102.37,1271885
2024-06-27,102.78,104.41,101.6,103.88,1228713
2024-06-28,104.3,105.54,102.49,105.39,1182705
